customRiskId,assetId,vulnerability,threat,identifiedRisk,detail,category_title,source_title,owner_email,context_name,isConfidentiality,isIntegrity,isAvailability,impactSeverity,likelihoodOccurence,detection
RISK-001,550e8400-e29b-41d4-a716-446655440902,"Patch/update aplikasi tidak rutin, proses secure review terbatas","Exploit vulnerability","Eksploitasi celah aplikasi (bug) pada Teacher/Curriculum yang menyebabkan akses tidak sah","Celah aplikasi bisa dimanfaatkan untuk membaca/mengubah data akademik","Keamanan Aplikasi","Sumber Eksternal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,true,false,4,3,3
RISK-002,550e8400-e29b-41d4-a716-446655440902,"Manajemen sesi/cookie tidak ketat","Pengambilalihan sesi","Session hijacking pada aplikasi Teacher","Akun guru dibajak tanpa perlu tahu password","Keamanan Aplikasi","Sumber Eksternal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,true,false,4,2,2
RISK-003,550e8400-e29b-41d4-a716-446655440902,"Kebijakan lockout belum ketat","Percobaan login masif","Brute force / credential stuffing pada akun guru/admin","Akun berhasil diambil alih lalu dipakai mengubah nilai","Keamanan Aplikasi","Sumber Eksternal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,true,false,4,3,3
RISK-004,550e8400-e29b-41d4-a716-446655440903,"RBAC belum granular / ada celah pada permission","Penyalahgunaan akses","Eskalasi hak akses (privilege escalation) di aplikasi akademik","User level rendah dapat mengakses fitur admin","Keamanan Aplikasi","Sumber Internal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,true,false,4,2,2
RISK-005,550e8400-e29b-41d4-a716-446655440905,"Output report tidak dibatasi per role","Data exfiltration","Kebocoran data melalui fitur ekspor/laporan","Data nilai/rekap bisa diunduh massal oleh user tak berwenang","Keamanan Data","Sumber Internal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,false,false,4,3,3
RISK-006,550e8400-e29b-41d4-a716-446655440904,"Konfigurasi server/app salah (directory listing, public bucket)","Misconfiguration exposure","Kebocoran data akibat salah konfigurasi akses publik (misconfig)","Data bisa terbuka tanpa autentikasi","Keamanan Data","Sumber Internal","it@smktelkom-mlg.sch.id","Kepatuhan dan Perlindungan Data",true,false,false,5,2,2
RISK-007,550e8400-e29b-41d4-a716-446655440905,"Validasi & mekanisme verifikasi terbatas","Human error","Kesalahan input massal nilai (human error) yang tidak terdeteksi","Nilai salah memicu komplain orang tua & koreksi besar","Integritas Sistem","Sumber Internal","it@smktelkom-mlg.sch.id","Layanan Akademik",false,true,false,3,3,3
RISK-008,550e8400-e29b-41d4-a716-446655440914,"Audit trail/log perubahan tidak lengkap","Penyalahgunaan akses","Perubahan data akademik tanpa jejak audit","Sulit membuktikan siapa mengubah nilai/data","Integritas Sistem","Sumber Internal","it@smktelkom-mlg.sch.id","Layanan Akademik",false,true,false,4,2,2
RISK-009,550e8400-e29b-41d4-a716-446655440903,"Integrasi antar aplikasi belum matang","Data inconsistency","Data kurikulum/jadwal tidak sinkron antar modul","Jadwal/kurikulum kacau berdampak ke proses KBM","Integritas Sistem","Teknis/Sistem","it@smktelkom-mlg.sch.id","Layanan Akademik",false,true,false,3,3,3
RISK-010,550e8400-e29b-41d4-a716-446655440910,"Tidak ada jadwal maintenance terencana","Planned outage mismanaged","Downtime karena pemeliharaan tanpa window & komunikasi","Layanan mati mendadak saat jam sekolah/ujian","Ketersediaan Layanan","Sumber Internal","sarpras@smktelkom-mlg.sch.id","Layanan Akademik",false,false,true,4,3,3
